parent_id,name,end
52,ボトムス,1
52,パジャマ,1
52,その他,1
53,すべて,1
53,スニーカー,1
53,サンダル,1
53,ブーツ,1
53,長靴,1
53,その他,1
54,すべて,1
54,靴下/スパッツ,1
54,帽子,1
54,エプロン,1
54,サスペンダー,1
54,タイツ,1
54,ハンカチ,1
54,バンダナ,1
54,ベルト,1
54,マフラー,1
54,傘,1
54,手袋,1
54,スタイ,1
54,バッグ,1
54,その他,1
55,すべて,1
55,おむつ用品,1
55,おまる/補助便座,1
55,トレーニングパンツ,1
55,ベビーバス,1
55,お風呂用品,1
55,その他,1
56,すべて,1
56,ベビーカー,1
56,抱っこひも/スリング,1
56,チャイルドシート,1
56,その他,1
57,すべて,1
57,ミルク,1
57,ベビーフード,1
57,ベビー用食器,1
57,その他,1
58,すべて,1
58,ベッド,1
58,布団/毛布,1
58,イス,1
58,たんす,1
58,その他,1
59,すべて,1
59,おふろのおもちゃ,1
59,がらがら,1
59,オルゴール,1
59,ベビージム,1
59,手押し車/カタカタ,1
59,知育玩具,1
59,その他,1
60,すべて,1
60,お宮参り用品,1
60,お食い初め用品,1
60,アルバム,1
60,手形/足形,1
60,その他,1
61,すべて,1
61,母子手帳用品,1
61,その他,1
62,すべて,1
62,食器,1
62,調理器具,1
62,収納/キッチン雑貨,1
62,弁当用品,1
62,カトラリー(スプーン等),1
62,テーブル用品,1
62,容器,1
62,エプロン,1
62,アルコールグッズ,1
62,浄水機,1
62,その他,1
63,すべて,1
63,セミシングルベッド,1
63,シングルベッド,1
63,セミダブルベッド,1
63,ダブルベッド,1
63,ワイドダブルベッド,1
63,クイーンベッド,1
63,キングベッド,1
63,脚付きマットレスベッド,1
63,マットレス,1
63,すのこベッド,1
63,ロフトベッド/システムベッド,1
63,簡易ベッド/折りたたみベッド,1
63,収納付き,1
63,その他,1
64,すべて,1
64,ソファセット,1
64,シングルソファ,1
64,ラブソファ,1
64,トリプルソファ,1
64,オットマン,1
64,コーナーソファ,1
64,ビーズソファ/クッションソファ,1
64,ローソファ/フロアソファ,1
